market,yf_ticker
AU,10X.AX
AU,14D.AX
AU,1AD.AX
AU,1AE.AX
AU,1AI.AX
AU,1CG.AX
AU,1MC.AX
AU,1TT.AX
AU,29M.AX
AU,3DP.AX
AU,3PL.AX
AU,4DS.AX
AU,4DX.AX
AU,5GG.AX
AU,5GN.AX
AU,88E.AX
AU,8CO.AX
AU,A1M.AX
AU,A1N.AX
AU,A3D.AX
AU,A4N.AX
AU,A8G.AX
AU,AAC.AX
AU,AAJ.AX
AU,AAL.AX
AU,AAM.AX
AU,AAP.AX
AU,AAR.AX
AU,AAU.AX
AU,ABB.AX
AU,ABE.AX
AU,ABR.AX
AU,ABV.AX
AU,ABX.AX
AU,ABY.AX
AU,ACE.AX
AU,ACF.AX
AU,ACL.AX
AU,ACM.AX
AU,ACP.AX
AU,ACR.AX
AU,ACS.AX
AU,ACU.AX
AU,ACW.AX
AU,AD1.AX
AU,AD8.AX
AU,ADC.AX
AU,ADD.AX
AU,ADG.AX
AU,ADH.AX
AU,ADN.AX
AU,ADO.AX
AU,ADR.AX
AU,ADS.AX
AU,ADV.AX
AU,ADX.AX
AU,AEE.AX
AU,AEF.AX
AU,AEG.AX
AU,AEI.AX
AU,AEL.AX
AU,AEM.AX
AU,AEU.AX
AU,AEV.AX
AU,AFA.AX
AU,AFG.AX
AU,AFI.AX
AU,AFL.AX
AU,AGC.AX
AU,AGD.AX
AU,AGE.AX
AU,AGI.AX
AU,AGL.AX
AU,AGN.AX
AU,AGY.AX
AU,AHC.AX
AU,AHF.AX
AU,AHK.AX
AU,AHL.AX
AU,AHN.AX
AU,AI1.AX
AU,AIH.AX
AU,AIM.AX
AU,AIS.AX
AU,AIV.AX
AU,AJL.AX
AU,AKA.AX
AU,AKG.AX
AU,AKM.AX
AU,AKN.AX
AU,AKO.AX
AU,AL3.AX
AU,ALA.AX
AU,ALB.AX
AU,ALC.AX
AU,ALD.AX
AU,ALK.AX
AU,ALL.AX
AU,ALQ.AX
AU,ALR.AX
AU,ALV.AX
AU,ALY.AX
AU,AM5.AX
AU,AMA.AX
AU,AMH.AX
AU,AMI.AX
AU,AMN.AX
AU,AMO.AX
AU,AMP.AX
AU,AMS.AX
AU,AMU.AX
AU,AMX.AX
AU,AN1.AX
AU,ANG.AX
AU,ANN.AX
AU,ANO.AX
AU,ANR.AX
AU,ANX.AX
AU,ANZ.AX
AU,AOA.AX
AU,AOK.AX
AU,AON.AX
AU,AOV.AX
AU,APC.AX
AU,APE.AX
AU,APW.AX
AU,APX.AX
AU,AQD.AX
AU,AQI.AX
AU,AQN.AX
AU,AQX.AX
AU,AQZ.AX
AU,AR1.AX
AU,AR3.AX
AU,AR9.AX
AU,ARA.AX
AU,ARB.AX
AU,ARC.AX
AU,ARD.AX
AU,ARG.AX
AU,ARI.AX
AU,ARL.AX
AU,ARN.AX
AU,ARR.AX
AU,ART.AX
AU,ARU.AX
AU,ARV.AX
AU,AS1.AX
AU,AS2.AX
AU,ASB.AX
AU,ASG.AX
AU,ASH.AX
AU,ASK.AX
AU,ASL.AX
AU,ASM.AX
AU,ASP.AX
AU,ASQ.AX
AU,ASV.AX
AU,ASX.AX
AU,AT1.AX
AU,AT4.AX
AU,ATA.AX
AU,ATC.AX
AU,ATG.AX
AU,ATH.AX
AU,ATP.AX
AU,ATS.AX
AU,ATT.AX
AU,ATV.AX
AU,ATX.AX
AU,AU1.AX
AU,AUA.AX
AU,AUB.AX
AU,AUC.AX
AU,AUE.AX
AU,AUG.AX
AU,AUI.AX
AU,AUQ.AX
AU,AUR.AX
AU,AUV.AX
AU,AUZ.AX
AU,AV1.AX
AU,AVA.AX
AU,AVD.AX
AU,AVE.AX
AU,AVG.AX
AU,AVL.AX
AU,AVM.AX
AU,AVR.AX
AU,AVW.AX
AU,AW1.AX
AU,AWJ.AX
AU,AX1.AX
AU,AX8.AX
AU,AXE.AX
AU,AXI.AX
AU,AXL.AX
AU,AXN.AX
AU,AYA.AX
AU,AYM.AX
AU,AYT.AX
AU,AZI.AX
AU,AZJ.AX
AU,AZY.AX
AU,B4P.AX
AU,BAP.AX
AU,BAS.AX
AU,BB1.AX
AU,BBC.AX
AU,BBL.AX
AU,BBN.AX
AU,BBT.AX
AU,BC8.AX
AU,BCA.AX
AU,BCC.AX
AU,BCI.AX
AU,BCM.AX
AU,BCN.AX
AU,BDX.AX
AU,BEL.AX
AU,BEN.AX
AU,BEO.AX
AU,BET.AX
AU,BFG.AX
AU,BGA.AX
AU,BGD.AX
AU,BGE.AX
AU,BGL.AX
AU,BGT.AX
AU,BHD.AX
AU,BHL.AX
AU,BHM.AX
AU,BHP.AX
AU,BIM.AX
AU,BIO.AX
AU,BIS.AX
AU,BIT.AX
AU,BKB.AX
AU,BKI.AX
AU,BKT.AX
AU,BKY.AX
AU,BLG.AX
AU,BLU.AX
AU,BLX.AX
AU,BLZ.AX
AU,BM1.AX
AU,BM8.AX
AU,BML.AX
AU,BMM.AX
AU,BMN.AX
AU,BMR.AX
AU,BMT.AX
AU,BNL.AX
AU,BNR.AX
AU,BOA.AX
AU,BOE.AX
AU,BOL.AX
AU,BOQ.AX
AU,BOT.AX
AU,BP8.AX
AU,BPH.AX
AU,BPM.AX
AU,BPP.AX
AU,BPT.AX
AU,BRE.AX
AU,BRG.AX
